,kcat,MW,kcat_MW
R03062,5527.248266852328,35806.150200000004,555717.2063884259
DHPS,77.02221538461538,31001.307700000038,8944.138036622728
DHPS2_1,77.02221538461538,31001.307700000038,8944.138036622728
DHQS,1568.34375,40816.54500000003,138327.17835377777
DHQTi_num1,10.46,28131.254700000016,1338.5823135716726
AMID3,261.36285869565216,29398.94460000002,32004.76425620895
UPP3S_1_num1,38.0,29113.97470000002,4698.7744342581955
AMID,261.36285869565216,29398.94460000002,32004.76425620895
DBTS,17.365760416875,25159.886800000026,2484.778170812356
UAMAS,46.16935483870968,48364.01350000005,3436.639463748283
UPP3MT_num1,4.6,53868.290100000115,307.41647765797495
UPPDC1,333.147,39646.23520000002,30250.77145282132
CHCOAL,0.25794285714285714,29630.10960000003,31.339549473495193
AOXSr,1327.4199636363635,42580.94860000005,112226.52444832814
PPPGO_1,1.44043108303,51202.304300000076,101.27575252327057
TMPPP_num1,999.0,23680.68399999999,151870.61319681484
AMAOTr,58.97429411588235,50110.986300000055,4236.744763835874
PFK_2_num1,84.62,34253.758999999984,8893.388897843302
HSTPT,268.1982023812143,40035.96450000003,24116.155077826854
SHSL1,63.39652380952381,41704.95580000007,5472.430825937607
PPCDC,1.81833333,43977.22460000004,148.84977502650298
R03270,55.6371111111111,77021.76670000005,2600.4804691139325
3HPAOX,244.27766666666668,55849.16230000012,15745.976551558735
R03316,502.85,106276.49330000067,17033.493896810658
G6PI3,1473.8477300000002,50542.45219999997,104978.12427074923
NT5C_num1,7.110571428571428,159703.77129999976,160.28461278332492
NNDPRm,400.852,31392.59680000002,45968.392140149386
R03371,5527.248266852328,41945.94239999999,474374.69805585744
IGPDH,1000.0,21548.46770000001,167065.24334442575
AUNOR,6.1666669999999995,39304.85080000004,564.815811487573
DHPPDA2,6.1666669999999995,39304.85080000004,564.815811487573
PSCVT,5.67,45239.5117,451.1985039838527
R03492,5527.248266852328,95552.55050000073,208242.41379792613
HPPK2,499.585,19058.22399999999,94369.02410214092
DHNPA2r,0.3452666666666667,13516.338299999989,91.95981725316842
IGPS,4.483666666666667,27740.65410000003,581.8608293017858
PRAIi,114.425,24040.24889999999,17135.013939061177
23PDE7pp,12.675999999999998,159703.77129999976,285.7390256256276
23PDE2pp,12.675999999999998,159703.77129999976,285.7390256256276
STACHGALACT,234.03354166666668,49263.05520000003,17102.486773901906
ARGTRS,5.037639333333333,62722.23560000017,289.1399106954018
ASNTRS_1,3.107166666666666,49083.14890000002,227.89491405267185
CYSTRS,36.46395454545455,53906.89010000008,2435.129092405874
GLUTRS_Gln,3.61,55721.57670000002,233.23101695361746
GLYTLm,146.36571428571432,110268.83790000044,4778.4721546300925
HISTRS,32.1279375,48131.04040000002,2403.0350069058545
ILETRSm,17.51276111111111,104843.47190000072,601.3339586858872
LEUTRS,9.063725185185186,91541.36170000047,356.44445374976885
LYSTRS,129.09363636363636,57538.43110000009,8076.985799306756
METTRS,5527.248266852328,76187.02080000032,261174.3253867763
PHETRS,20.840466666666668,126619.06650000047,592.5306675673502
PROTRS,17.925,63303.99700000018,1019.366912961275
SERTRS,5527.248266852328,48840.928100000056,407406.13527916063
THRTRS_num1,30.483157894736838,73514.12810000019,1492.765693579005
TRPTRS,4.581818181818182,37196.402900000016,443.44463895850123
VALTRS,3.4234,101744.10600000064,121.12976844083649
ACACT4r_num1,80.0,41122.76369999998,7003.420346478321
ACACT6p_num1,80.0,41122.76369999998,7003.420346478321
FFSD,322071.52695652173,54813.776800000065,21152665.711651467
23CN2P3,12.675999999999998,159703.77129999976,285.7390256256276
IPPMIb_num1,3.2,52391.27560000012,219.88393808071308
r0648,43.33,64188.194000000156,2430.1665194069737
R03971,43.33,64188.194000000156,2430.1665194069737
R03975,2071.413,37126.641400000015,200855.4105300782
ACACT7p_num1,80.0,41122.76369999998,7003.420346478321
IPPMIa,3.2,75412.84950000011,152.75911302091802
SUCBZL,115.56666666666666,54189.5592,7677.4937117406935
IMACTD_num1,1.374,53320.427500000085,92.7674482729905
MBCOAi,2.767,40918.30990000007,243.4411397817773
GLUTRR_1,199.912,50842.94810000009,14155.024971889834
AMAA_num1,172.56720333333337,27005.707000000013,23004.09805971751
MCCCrm,68.05796888893333,160742.30910000016,1524.2327261065814
PRAGSr,203.34,45279.761900000056,16166.692784663232
ECOAH5_1_num1,1111.9,27553.2244,145276.64500856024
PSERT,1.07125,40135.181300000055,96.0877682642982
HACD9,1111.9,87084.28870000046,45965.12252387473
ECOAH9m_num1,1111.9,27553.2244,145276.64500856024
ECOAH12m_num1,1111.9,27553.2244,145276.64500856024
PPNCL2,1.81833333,43977.22460000004,148.84977502650298
PTHPS,5527.248266852328,16468.18009999999,1208275.2095156156
GARFT,6.3756,21605.574900000007,1062.3258166576254
KAS14_1_num1,0.17085714285714285,77735.48310000003,7.912547652073625
