gene_id	abundance
O31940	21.5
O31942	144
O31943	3
O31944	2.97
O31945	9.48
O31947	6.25
O31948	5.44
O31949	12.4
O31950	10.8
O31951	11.9
O31952	6.56
O31953	5.81
O31954	5.98
O31955	4.48
O31956	1.74
O31957	2.18
O31958	4.13
O31959	8.43
O31960	5.48
O31961	15.7
O31962	7.87
O31963	1.6
O31964	2.65
O31965	3.54
O31966	3.82
O31967	0.822
O31968	10.7
O31969	4.41
O31970	7.2
O31971	7.02
O31972	9.57
O31973	3.34
O31974	173
O31975	9.1
O31976	6.73
O31977	7.43
O31978	3.91
O31979	5.95
O31980	4.02
O31981	13
O31982	8.41
O31983	38.9
O31984	6.18
O31986	19.6
O31989	745
O31990	13.9
O31991	2
O31992	7.69
O31993	14.6
O31994	1601
O31995	18.3
O31996	10.8
O31997	56.7
O31998	8.71
O31999	26.9
O32000	146
O32001	35.6
O32002	55.3
O32003	25.3
O32004	6.62
O32005	11.8
O32006	15.3
O32007	6.03
O32013	1.02
O32014	7.55
O32015	2.16
O32019	6.71
O32022	518
O32023	827
O32026	1.63
O32027	20.2
O32028	348
O32029	6.03
O32030	107
O32031	769
O32032	3.82
O32033	62.7
O32034	48.1
O32035	104
O32036	31.4
O32037	118
O32038	544
O32039	282
O32041	130
O32042	10.8
O32044	24.2
O32045	197
O32046	8.26
O32047	419
O32049	202
O32050	7.09
O32051	5.03
O32052	4710
O32053	82.3
O32054	64.2
O32055	7.46
O32060	1.53
O32062	6.82
O32064	15.4
O32065	185
O32066	3.18
O32067	2.55
O32071	6.32
O32072	71.4
O32073	5.7
O32074	73.2
O32075	83.2
O32076	347
O32077	57.3
O32078	342
O32079	24
O32080	30.3
O32081	2.21
O32082	551
O32083	7.91
O32084	0.715
O32085	2.47
O32086	9.47
O32087	32.9
O32089	1.04
O32090	165
O32091	180
O32092	10.5
O32093	161
O32095	22.6
O32096	10.2
O32097	36.9
O32098	20.9
O32099	112
O32100	39.1
O32101	177
O32102	22.5
O32103	12.3
O32104	118
O32105	82.3
O32106	153
O32107	144
O32108	5.18
O32109	3.88
O32110	12.1
O32111	4.07
O32113	126
O32114	139
O32115	11.3
O32116	45.3
O32117	90.7
O32118	16.7
O32119	841
O32123	3.75
O32124	18.3
O32125	151
O32126	166
O32127	186
O32128	6.27
O32129	223
O32130	3.81
O32131	3.68
O32132	10.1
O32133	10.6
O32134	5.78
O32135	50.7
O32136	11.3
O32137	7.41
O32138	9
O32139	1.46
O32140	4.8
O32141	5.59
O32142	2.66
O32143	30.8
O32144	10.1
O32145	5.26
O32146	3.6
O32147	5.79
O32148	7.2
O32149	11.8
O32150	65.4
O32151	28.1
O32152	25.9
O32153	85.8
O32154	25.4
O32155	20.2
O32156	349
O32157	608
O32158	214
O32159	21.4
O32160	9.45
O32161	225
O32162	605
O32163	282
O32164	251
O32165	1151
O32166	9.97
O32167	1902
O32168	228
O32169	251
O32171	3.55
O32172	18.2
O32173	3.41
O32174	1014
O32175	323
O32176	110
O32177	18.7
O32178	39.1
O32179	3.29
O32180	1.44
O32181	31.9
O32182	19.9
O32183	2.59
O32186	5.67
O32187	184
O32188	63
O32189	7.95
O32192	61.2
O32193	12.8
O32197	7.63
O32198	4.91
O32199	19.6
O32200	2.02
O32201	106
O32202	150
O32203	19.9
O32204	84.7
O32205	2.81
O32206	5.28
O32207	8.94
O32208	123
O32209	1.91
O32210	622
O32211	557
O32212	12.2
O32213	365
O32214	678
O32215	11.7
O32216	5.5
O32217	9.04
O32218	801
O32219	53
O32220	31.5
O32221	592
O32222	84.1
O32223	239
O32224	459
O32225	4.25
O32226	2.47
O32227	3.86
O32228	44.7
O32229	30.9
O32230	103
O32231	77.8
O32232	118
O32233	362
O32234	4.76
O32235	2.92
O32236	53.2
O32237	1.62
O32238	116
O32239	23.5
O32241	253
O32242	4.82
O32243	164
O32244	1.82
O32245	127
O32246	138
O32247	419
O32248	311
O32253	41.6
O32254	12.2
O32255	5.29
O32256	3.69
O32257	6.93
O32258	5.56
O32259	611
O32261	1.29
O32263	120
O32264	226
O32265	27.7
O32266	3.1
O32267	6.56
O32268	7.08
O32269	29.3
O32270	3.56
O32271	10.6
O32272	1.73
O32273	4.67
O32274	4.94
O32277	2.48
O32280	40.5
O32283	37.7
O32285	3.03
O32286	49.9
O32291	2.28
O32292	1.58
O32293	15.5
O32294	28.1
O32296	7.16
O32436	11.3
O32437	76.7
O34303	6.37
O34305	268
O34306	11.3
O34307	16.6
O34308	16.7
O34309	20.2
O34310	32.5
O34311	4.15
O34313	27.1
O34314	3.35
O34315	0.391
O34317	11.6
O34318	330
O34319	18.6
O34320	4.68
O34321	4.32
O34322	200
O34324	134
O34325	10.1
O34327	39.1
O34328	314
O34329	6.29
O34330	9.71
O34331	16.1
O34334	764
O34335	2.47
O34336	6.87
O34338	10.9
O34339	1.79
O34340	461
O34341	33
O34342	15.6
O34344	1122
O34345	6.82
O34346	5.6
O34347	576
O34348	722
O34349	5.98
O34350	3.17
O34351	8.26
O34352	4.03
O34353	65.3
O34354	7.39
O34355	27.8
O34357	401
O34358	131
O34359	6.98
O34360	5.64
O34362	138
O34363	2.96
O34364	5.4
O34365	380
O34366	1592
O34367	2.05
O34368	1.74
O34371	7.02
O34374	7.97
O34375	22.8
O34376	15.4
O34377	20.4
O34378	10.2
O34380	119
O34381	14
O34382	2.22
O34383	13.6
O34384	1139
O34385	47.3
O34389	13.2
O34391	5.22
O34392	70.1
O34394	146
O34398	4.04
O34399	668
O34401	21.6
O34402	6.49
O34403	18.2
O34406	3.72
O34409	1.46
O34411	19.8
O34412	30
O34413	12.1
O34414	2.75
O34416	1.55
O34418	43.2
O34421	12.3
O34423	5.84
O34424	56.6
O34425	1019
O34426	231
O34427	1.53
O34428	5.11
O34429	10.4
O34430	4.47
O34431	14.3
O34433	20
O34434	21.1
O34436	78.1
O34438	1.15
O34439	2.11
O34440	23.6
O34441	36.5
O34442	194
O34443	537
O34445	89.1
O34446	3.15
O34447	48.3
O34448	69.8
O34449	9.84
O34450	61.4
O34451	0.614
O34452	60.2
O34453	21.5
O34454	448
O34456	0.631
O34457	83.6
O34458	6.06
O34459	161
O34460	13.8
O34464	15.2
O34466	11.3
O34468	312
O34469	15.3
O34470	28.7
O34471	18.9
O34472	0.663
O34474	27.4
O34475	254
O34476	42.6
O34478	38.4
O34479	7.47
O34481	8.29
O34482	3.47
O34483	64.8
O34484	143
O34486	4.13
O34493	4.21
O34496	60.7
O34497	5.28
O34498	28.7
O34499	691
O34500	11.7
O34502	0.423
O34504	2.59
O34505	0.869
O34506	7.57
O34507	176
O34508	9.71
O34509	4.58
O34510	36.9
O34512	47.9
O34513	6.61
O34514	7.24
O34516	7.82
O34518	1.64
O34520	307
O34521	110
O34522	171
O34524	57.3
O34525	205
O34526	295
O34528	4.92
O34529	594
O34530	38.3
O34533	21
O34534	9.02
O34535	2.64
O34536	29.2
O34537	0.436
O34538	1229
O34539	8.63
O34541	216
O34542	48.2
O34543	4.44
O34544	5.92
O34545	8.9
O34546	2.27
O34549	55.3
O34551	6.93
O34554	35.6
O34555	4.57
O34557	64.3
O34558	27.5
O34559	3.84
O34560	8.45
O34563	107
O34564	132
O34565	167
O34569	55.2
O34570	8.87
O34572	123
O34573	3.57
O34574	4.51
O34575	3.39
O34577	1519
O34579	4.89
O34580	58.9
O34581	22.9
O34584	6.53
O34585	5.29
O34586	32.5
O34588	602
O34589	189
O34591	359
O34592	27.5
O34593	241
O34594	325
O34595	12.3
O34596	140
O34597	2.52
O34598	6.21
O34599	48.8
O34600	167
O34601	8.14
O34604	2.25
O34605	23.5
O34606	5.89
O34607	87.7
O34610	11.7
O34611	0.902
O34612	4.05
O34614	78.2
O34616	216
O34617	40.7
O34618	20.7
O34619	8.17
O34621	6.75
O34623	6.85
O34624	26
O34626	1.83
O34627	29.6
O34628	420
O34629	159
O34631	4.96
O34632	117
O34633	2043
O34634	175
O34635	67
O34636	12.1
O34637	4.9
O34638	2.05
O34639	14.8
O34640	10
O34641	8.33
O34642	1.91
O34643	6.2
O34645	26.3
O34647	22.5
O34648	50.9
O34649	2.19
O34651	231
O34653	8.93
O34654	25
O34656	5.27
O34658	44.3
O34659	157
O34660	299
O34661	8.69
O34662	2.83
O34663	1.37
O34664	12.8
O34666	130
O34667	771
O34669	69.6
O34671	0.254
O34672	6.86
O34673	4.11
O34674	2.11
O34676	11
O34677	35.6
O34678	7.06
O34679	4.77
O34680	7.85
O34681	15.9
O34682	2.75
O34683	800
O34684	2.65
O34685	2.05
O34686	9.68
O34687	1710
O34688	5.3
O34689	36.1
O34691	102
O34692	0.869
O34693	41.5
O34696	37.3
O34697	10.6
O34699	2.38
O34700	10.4
O34701	2.39
O34702	7.8
O34703	21.4
O34704	32.6
O34705	6.87
O34706	0.851
O34707	6.45
O34708	1.01
O34709	15.2
O34712	38
O34713	2.19
O34714	133
O34717	44.6
O34718	2.73
O34719	4.68
O34720	11.6
O34722	115
O34723	27
O34724	6.42
O34725	502
O34726	94.7
O34727	121
O34730	7.68
O34731	2.22
O34733	4.68
O34734	2.89
O34735	4.3
O34736	3.89
O34737	49.2
O34738	1121
O34739	0.692
O34741	5.97
O34742	111
O34743	512
O34744	30.5
O34745	415
O34746	166
O34748	6.91
O34750	22.3
O34751	70.2
O34752	66.1
O34753	4.97
O34755	7.72
O34756	8.25
O34757	7.44
O34758	49.7
O34759	115
O34760	12.2
O34762	317
O34763	17.7
O34764	791
O34765	2.62
O34766	23.2
O34767	1.41
O34768	161
O34769	7.46
O34772	2
O34774	138
O34775	6.83
O34776	12.6
O34777	124
O34779	75.7
O34780	5.81
O34782	146
O34783	4.65
O34784	28.2
O34785	5.77
O34787	12.2
O34788	2190
O34789	196
O34790	31.3
O34791	5.48
O34792	7.62
O34795	19.1
O34796	3.61
O34797	34.5
O34798	22.3
O34799	5.14
O34800	29.8
O34803	5.31
O34805	76.5
O34806	15.4
O34808	4.85
O34809	19.1
O34811	0.732
O34812	151
O34813	28.2
O34814	274
O34815	121
O34816	5.08
O34817	10.1
O34819	3.21
O34820	6.99
O34823	36.6
O34824	623
O34825	38.4
O34827	33.6
O34828	687
O34829	4.17
O34830	3.41
O34831	2.69
O34832	21.8
O34833	403
O34834	6.67
O34835	67.6
O34838	6.57
O34840	1.95
O34841	45.2
O34842	21.2
O34843	4.44
O34844	99.8
O34846	2.97
O34847	264
O34849	6.51
O34850	2.7
O34851	5.95
O34852	2.69
O34853	2.87
O34855	4.51
O34857	527
O34858	147
O34859	4.03
O34860	149
O34861	82.5
O34862	5.5
O34863	65.3
O34864	213
O34866	104
O34867	7.04
O34869	9.23
O34872	244
O34873	1.86
O34874	3.42
O34876	288
O34878	68.6
O34879	4.04
O34880	4.3
O34881	17.6
O34882	1.84
O34885	55.3
O34886	8.08
O34889	196
O34891	4.82
O34892	7.94
O34893	7.63
O34894	307
O34895	6.11
O34896	7.22
O34897	13.2
O34898	2.05
O34899	205
O34900	7.82
O34901	3.38
O34903	1.33
O34904	1.87
O34905	10.3
O34906	2.55
O34908	7.04
O34909	164
O34910	19.7
O34911	250
O34912	422
O34915	8.16
O34916	48.7
O34917	8.11
O34918	99.9
O34919	10.8
O34920	2
O34921	13.1
O34922	5.17
O34923	3.7
O34924	60.6
O34925	400
O34926	6.43
O34927	1.33
O34928	6.12
O34929	1.77
O34930	75.7
O34931	5.2
O34932	117
O34933	36.7
O34934	205
O34937	13.4
O34939	28.7
O34940	15.8
O34942	14.7
O34943	471
O34944	83
O34946	132
O34947	4.81
O34948	794
O34949	27.3
O34950	5.14
O34951	6.58
O34952	177
O34953	6.35
O34954	2.69
O34958	1.51
O34959	5.84
O34960	3.35
O34961	2.5
O34962	960
O34966	1171
O34967	817
O34968	9.73
O34969	109
O34970	5.97
O34973	6.97
O34974	3.86
O34976	8.01
O34977	21.3
O34978	22.1
O34979	36.7
O34980	2.96
O34981	1297
O34983	7.57
O34984	7.76
O34985	0.761
O34986	4.84
O34987	233
O34988	1.73
O34989	9.19
O34990	112
O34991	2.68
O34992	206
O34993	8.97
O34994	69.4
O34996	81
O34997	5.23
O34999	0.638
O35000	18.7
O35001	5.21
O35002	5.81
O35004	146
O35005	105
O35006	331
O35007	508
O35008	17.8
O35010	8.2
O35011	342
O35012	8.25
O35013	76.8
O35014	25
O35015	3.34
O35016	22.3
O35017	7.01
O35018	4.73
O35019	212
