id,fluxes,equ,ec-code,kcat_MW,E
rxn05367_num2,0,6moACP_c + h_c + malACP_c --> 8m3odACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05368_num2,0.042969592,8m3odACP_c + h_c + nadph_c --> 8m3hdACP_c + nadp_c,1.1.1.100,16528.20458,2.60E-06
rxn05368_num3,0,8m3odACP_c + h_c + nadph_c --> 8m3hdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05371_num2,0,8mdACP_c + h_c + malACP_c --> ACP_c + co2_c + cpd11508_c,2.3.1.41,7.74392208,0
rxn05372_num2,0.042969592,cpd11508_c + h_c + nadph_c --> 3hoddecACP_c + nadp_c,1.1.1.100,16528.20458,2.60E-06
rxn05372_num3,0,cpd11508_c + h_c + nadph_c --> 3hoddecACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05375_num2,0,10mdACP_c + h_c + malACP_c --> 123oxtACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05376_num2,0.042969592,123oxtACP_c + h_c + nadph_c --> 12m3htdACP_c + nadp_c,1.1.1.100,16528.20458,2.60E-06
rxn05376_num3,0,123oxtACP_c + h_c + nadph_c --> 12m3htdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05379_num2,0,cpd11515_c + h_c + malACP_c --> 14m3ohdACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05380_num2,0.014595791,14m3ohdACP_c + h_c + nadph_c --> 14m3hdACP_c + nadp_c,1.1.1.100,16528.20458,8.83E-07
rxn05380_num3,0,14m3ohdACP_c + h_c + nadph_c --> 14m3hdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05384_num2,0,h_c + isovACP_c + malACP_c --> 5m3hhACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05385_num2,0.022952437,5m3hhACP_c + h_c + nadph_c --> 5m3hACP_c + nadp_c,1.1.1.100,16528.20458,1.39E-06
rxn05385_num3,0,5m3hhACP_c + h_c + nadph_c --> 5m3hACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05388_num2,0,3mehacp_c + h_c + malACP_c --> 7me3oxoacp_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05389_num2,0.022952437,7me3oxoacp_c + h_c + nadph_c --> 7m3hoACP_c + nadp_c,1.1.1.100,16528.20458,1.39E-06
rxn05389_num3,0,7me3oxoacp_c + h_c + nadph_c --> 7m3hoACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05392_num2,0,7moACP_c + h_c + malACP_c --> 9m3odACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05393_num2,0.022952437,9m3odACP_c + h_c + nadph_c --> 9m3hdACP_c + nadp_c,1.1.1.100,16528.20458,1.39E-06
rxn05393_num3,0,9m3odACP_c + h_c + nadph_c --> 9m3hdACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05396_num2,0,9mdACP_c + h_c + malACP_c --> 11m3odACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05397_num2,0.022952437,11m3odACP_c + h_c + nadph_c --> 11m3hdACP_c + nadp_c,1.1.1.100,16528.20458,1.39E-06
